"","AEM1","AEM2","AEM3","AEM4","AEM5","AEM6","AEM7","AEM8","AEM9","AEM10","AEM11","AEM12","AEM13","AEM14","AEM15","AEM16","AEM17","AEM18","AEM19","AEM20","AEM21","AEM22","AEM23","AEM24","AEM25","AEM26","AEM27","AEM28","AEM29"
"Mul",-0.0632709276062076,0.319754196420756,-0.16710446004507,-0.0684045014595873,0.122984597104842,0.0810550553435111,-0.0889894907358751,-0.11483512601883,-0.35609207205282,-0.178561940968263,-0.204983762291089,0.00742031019292243,-0.00462687516259933,-0.588755087361817,0.159948672766629,0.132301583248669,-0.028786523430871,0.384083257610242,-0.106409856179235,-0.040323326139637,-0.0300637507549239,-0.0473117817378048,0.113346499645647,0.00136616642382953,0.120086336937488,0.0271676121032979,-0.0435247038109644,0.0275472464400724,0.0221297029510667
"Ven",-0.0819598981884567,0.253790766762802,-0.0850084755937805,-0.0294276619089303,0.152586823054609,-0.103381773103464,-0.174742919347315,-0.166689733027671,-0.156342838452992,-0.134541094173431,-0.0462317679452083,0.0232626543657217,0.463812425924829,0.11925837143,-0.1532201061481,-0.413187258535876,0.00229664211124159,-0.0901867015395754,-0.114848903428758,-0.0388540132891603,0.180993914167452,0.0887564843388546,-0.291666638874942,0.0799353980137305,-0.382419338689939,-0.109249317331305,0.118097533306464,0.00859507982458362,-0.0181217226489658
"Oos",-0.132486508259882,0.00931241852431405,0.156453568109527,0.109951892491777,-0.106360355675207,0.0550950200753752,-0.150222035268346,0.199234943069807,-0.109992282528162,0.21373090050743,0.0468598641952165,-0.376145779196761,-0.0459576737051594,-0.0626344280794119,-0.434360083074693,0.0533674167535483,0.453041755476428,0.269795635254572,0.118787052733646,0.150582421090277,-0.038670517655999,0.28057359377575,-0.19276090775064,-0.0504165417943889,0.0523150780660728,0.00131544648226593,-0.00581255465099861,0.0198626829028392,-0.00302565611030375
"Ber",0.437341821452623,0.258203423049065,0.230154345164078,0.214900281598455,-0.611849193201625,0.261251513387154,-0.23753728043992,-0.15769078289961,-0.0283705752961422,0.0873799995599364,-0.143018876665332,0.0544679093222642,-0.0653722043898879,0.0335693758775343,0.0942224956162289,-0.0652183334185274,-0.134894613341629,-0.0871870169557934,-0.0578946165941955,0.00894045050797553,0.0355455311546794,0.0207167273000375,-0.0603474652313725,-0.0363957232107435,0.0192750996162098,-0.00819942121525547,-0.00491663116783192,0.00209033607700139,0.000666299353320322
"Flo",0.239941157998089,-0.122893988679874,-0.0767615311100344,-0.262276699341618,-0.261850440828183,0.11528936576333,0.541944093917099,0.137004272331177,-0.267584814788609,-0.18471339189982,-0.00116929127693332,-0.00113918928935511,0.374677034375226,0.235625469381086,-0.0904443949800311,0.16551698520808,0.0711517861074919,0.153484743575934,-0.134883281895168,0.0465869031129529,-0.0754901260952783,0.0767584177769629,0.163648236620822,0.0243639454392379,-0.0260896070633176,-0.00910033330435879,0.0108353308789639,0.00406267022181162,-0.00264694304869797
"Sin",0.303493734360933,0.0213484607490907,0.166614451371754,-0.485389827917886,0.43907528905903,0.539955764402965,-0.162109428621477,0.0774640489337409,0.273739206959879,0.120869983943632,-0.008258792126466,-0.0232721765709845,0.0191093780385057,-0.00274870598142562,-0.0035403675838561,-0.017341879045037,0.0249081248003221,-0.0178133794453292,0.0182297381564856,-0.0152821291397387,-0.00466107943085125,0.0334606597492631,0.0288304938504633,0.0209275874270518,-0.0191650657924144,0.00309384846466739,0.00766180374767403,-0.00193583065957213,-0.00163057077091265
"Tro",0.412772826095465,0.249677615912306,0.345826160355963,0.349984249277702,0.438830686421504,-0.319210426569117,0.20144956052715,0.241965921760792,-0.175462630893619,-0.0122809399580081,0.0720258953300732,0.178908176647759,-0.109628245113086,0.0449258895938265,-0.0730075209434427,0.0856901535948902,-0.0371131509123418,-0.0295147156434619,0.0332493168678334,-0.0177527572082093,0.00269034086726239,0.0181325899175059,-0.00122474356476377,0.000678879257883097,0.018061485777382,0.010696668635627,-0.00439050730472147,-0.00466529851195631,0.00274778714196957
"Vig",-0.152921237544714,-0.0525145284733084,0.149803997311691,-0.0158584385302184,-0.0375728996358682,-0.0159858694001034,0.0280223681789171,0.0660858595708804,0.0331574921316221,-0.00701691677172952,0.0841284125462813,0.102884329129335,0.0491631364866294,-0.0155325391279958,0.168316958581814,-0.185447919079439,-0.0541093221396531,0.0457065842111341,0.0166023802281112,0.175464332357088,-0.0444065783354459,0.0728336834369385,-0.0363911428799474,0.276285437954653,0.08007460234469,0.0459605199224757,-0.424470523201055,-0.00861475456033721,-0.134561316805518
"Gul",-0.116391773071722,-0.0904708416430138,0.165640507566267,-0.107929709813071,-0.0315801589687295,-0.00323441126824521,0.0301228255775097,-0.0831631777460516,-0.0313333676158276,-0.0597335455299833,0.0158263745374715,0.0848357493433922,-0.0081996727410624,-0.00813130020616782,-0.102230009282229,0.193173841363458,-0.0686302426834791,-0.0563402061662702,-0.10776210298786,-0.0951072006468101,-0.413154144023882,-0.402557420023762,-0.587551910225954,0.12751784652691,0.115821487105451,0.254094180902235,0.192905638132219,0.0117609334920209,0.00982395235414145
"Kav",0.219987950221946,-0.324458851105709,-0.21478107328002,0.0297393669234603,0.0223133203083585,-0.334124620208266,-0.0976714824528852,0.196371101726002,0.195323898984005,0.349211449876435,-0.575557218199974,-0.0507866740604615,0.222218396904323,-0.146837677143719,0.0127244671897979,-0.00784805996670705,-0.127332994142815,0.0245943750903562,-0.0793288177068244,0.0992142169388586,-0.0757026255713869,-0.0247479400097732,-0.0408262526330117,-0.00645968035695628,0.00689704089066977,-0.00703344261509382,-0.0219069618002384,-0.0111524867029356,-0.000554567079118242
"Lys",0.166286687245342,-0.342250166158838,-0.215253653995558,-0.0476065328127411,0.117075983581412,0.0403172682831222,-0.00880774276799622,-0.201616639725998,-0.594871548375473,0.277927552155303,0.119528845889595,-0.158414239386576,-0.27255654643573,0.0675114818374887,0.204733833741165,-0.219713531407909,0.0960699417036273,-0.224150738987421,0.094783286937381,-0.0726497251466037,-0.0114555996219177,-0.0294483416006126,-0.0402657366148613,0.0313371934347321,0.0184297591425609,0.000717987438781271,-0.0229458649867118,0.0234139769347132,0.0033751067836312
