"","Ale","Ber","Brd","Cor","Cro","Eye","Flo","Gul","Heb","Hel","Hoo","Idr","Iom","Ios","Jer","Kav","Kil","Laz","Loo","Lyn","Lys","Mul","Oos","Ork","Pad","Pem","Sar","Sbs","She","Sin","Sky","Sul","Tar","The","Tor","Tro","Ven","Vig"
"Sar",0.0515,0.0908,0.086,0.058,0.0879,0.0796,0.104,0.0883,0.0714,0.0912,0.0779,0.053,0.0678,0.0593,0.0836,0.0846,0.0726,0.0331,0.0673,0.0651,0.0969,0.0721,0.1205,0.0755,0.0681,0.0775,0,0.0787,0.066,0.095,0.0661,0.0837,0.0112,0.0749,0.063,0.0871,0.0791,0.0365
"Sbs",0.0685,0.0017,7e-04,0,0,0.0106,0.0036,0.0037,0,0.0037,0,0.0051,0.0035,0.002,0.0011,0,0.0024,0.0785,0.0028,0.0018,8e-04,0.0015,0.0402,6e-04,0.0032,0.001,0.0787,0,0,0.0036,0.0722,0,0.0723,0.0705,0.0696,0,0,0.0127
"She",0.0634,0.0025,0,0,0.0022,0.0144,0.004,0.0022,0,0.0021,3e-04,0.002,0.0023,0,0,0.0031,0,0.0799,0.0016,0,0.005,0.0012,0.0426,0.002,0,0.0033,0.066,0,0,0.0095,0.0681,0,0.0698,0.0658,0.0675,0,0,0.0089
"Sin",0.0865,4e-04,0.0069,0.0107,0.0049,0.0205,0,0.003,0.0054,0.0033,0.0043,0.0186,0.0129,0.01,0.0139,0,0.0103,0.1098,0.0124,0.0098,0.0021,0.0089,0.0307,0.0109,0.013,0.0074,0.095,0.0036,0.0095,0,0.0913,0.0069,0.1059,0.0901,0.0858,0,0.0025,0.0328
"Sky",0.0014,0.0768,0.0768,0.0602,0.0816,0.0898,0.0942,0.0743,0.0706,0.0807,0.0717,0.0669,0.0544,0.0689,0.0759,0.0712,0.0798,0.0834,0.0747,0.0629,0.0858,0.0748,0.1261,0.0825,0.0801,0.0686,0.0661,0.0722,0.0681,0.0913,0,0.0807,0.0786,0,0,0.0838,0.077,0.0595
"Sul",0.0769,0.0032,0.0011,0,0,0.0084,0,0.001,0,0,0,0.0056,0.0038,0.0021,0,0,0,0.0787,1e-04,0.0017,0.0013,0,0.0386,0,1e-04,0,0.0837,0,0,0.0069,0.0807,0,0.0716,0.0781,0.0792,0,0,0.013
"Tar",0.0715,0.096,0.0838,0.056,0.0787,0.0685,0.1108,0.098,0.064,0.0976,0.071,0.0446,0.0593,0.0555,0.0733,0.0795,0.0659,0,0.0584,0.0661,0.102,0.066,0.138,0.0795,0.074,0.0732,0.0112,0.0723,0.0698,0.1059,0.0786,0.0716,0,0.0873,0.0771,0.0842,0.0732,0.029
"The",0.002,0.0732,0.0769,0.0626,0.0796,0.089,0.0906,0.0708,0.0696,0.0791,0.0732,0.0659,0.0574,0.0716,0.0703,0.0649,0.0779,0.0949,0.0761,0.0641,0.0841,0.0774,0.123,0.0816,0.0831,0.0708,0.0749,0.0705,0.0658,0.0901,0,0.0781,0.0873,0,0.0033,0.0765,0.0766,0.0618
"Tor",0.004,0.0725,0.0768,0.0619,0.077,0.0861,0.0905,0.0708,0.0682,0.0783,0.072,0.0675,0.0589,0.0714,0.0739,0.0645,0.0801,0.0919,0.0751,0.0681,0.0809,0.0754,0.1218,0.0787,0.0824,0.0711,0.063,0.0696,0.0675,0.0858,0,0.0792,0.0771,0.0033,0,0.0786,0.0771,0.0591
"Tro",0.0746,0,0.0015,6e-04,0,0.0105,0,0,7e-04,0,0,0.0059,0.004,0,0,0,0,0.0903,0,0.0027,0,1e-04,0.0343,9e-04,0.0029,0,0.0871,0,0,0,0.0838,0,0.0842,0.0765,0.0786,0,0,0.0178
"Ven",0.077,0.0034,0.0032,0,0,0.0102,0.0051,0.0039,0,0.0016,0,0.0044,0.0025,0.0034,1e-04,8e-04,0,0.0735,7e-04,0,0.006,0,0.0331,0,0.0047,0,0.0791,0,0,0.0025,0.077,0,0.0732,0.0766,0.0771,0,0,0.0136
"Vig",0.0546,0.0274,0.0161,0.0034,0.0195,0.0265,0.029,0.0233,0.0086,0.0227,0.008,0.0011,0.0112,0.009,0.0136,0.0217,0.0081,0.0401,0.0092,0.007,0.0269,0.0099,0.0543,0.0141,0.0092,0.0111,0.0365,0.0127,0.0089,0.0328,0.0595,0.013,0.029,0.0618,0.0591,0.0178,0.0136,0
