"","MEM1","MEM2","MEM3","MEM4","MEM5","MEM6","MEM7"
"Brd",-1.21338130692668,1.00055619603295,-0.109379392856082,1.01187258835299,0.141067924896341,0.716296091125507,2.35131242172703
"Cro",-0.601150946632019,1.37560332124085,1.20490152696208,1.48487854899022,0.332249569398768,1.0527023209644,-0.133536463119792
"Eye",-1.42368802515989,-0.236617148681292,0.554202026846223,0.903543695709826,-0.743158048813356,-1.1153090109007,-0.360797855777314
"Heb",0.191685096935876,-1.83070334315085,0.766303620213,1.10441985435894,-0.768287191929959,-0.564080292954431,-1.08099257721974
"Iom",1.09323035538704,-0.930487355300378,-0.175486980130126,0.782462617454018,0.0381652514779276,0.82527416375936,1.28709225968677
"Ios",1.23460069933793,0.604829381484414,-0.246934029075281,-1.0344038477391,-1.11593892486664,0.558233294311786,0.00959724434743515
"Loo",0.912190815871221,1.2610290317962,0.618569180863626,-0.0742673963032759,1.40666506410115,-0.458441748050781,-1.1967170646509
"Lyn",1.21566337989412,-0.467719729617052,-0.36712819563873,0.808900414954903,0.313977493675652,-1.12884641806783,-0.0129530260092366
"Ork",-0.648629796760246,-1.38059831758738,1.63829271143906,-0.331563287925214,0.730362049454858,1.0580087756824,2.5376748504975
"Pad",1.23577468577801,0.546876558873325,-0.326293516341817,-0.407091250068494,0.351386265400841,-0.76514366939179,0.288139165612761
"Pem",1.25608011252812,0.25319753165452,-0.666911330392072,-0.465048541893199,0.849219160287791,-0.107022419666303,0.74170117211328
"She",-0.638233968477839,-1.39169046805873,1.70458056686001,-0.876049254456483,0.672124594502841,-0.0478562538583851,-0.595744022329367
"Sbs",-0.159827024840075,1.75671283912613,1.35199406121545,0.35367016244457,-1.02550572590828,-0.747055992032349,-0.531929586377618
"Sul",-0.0452752307185273,-1.73492087929501,1.1125349055957,0.715572384259234,-1.4745566106947,-1.90993843694166,0.805282579516303
"Jer",0.568336914570187,1.62325626645885,0.849367103007229,-0.173877323933273,1.20280039379031,-1.62999170772961,1.03146426302374
"Idr",0.556561331917821,1.1751488587754,0.553539681008875,-2.44913473359144,-1.21321459341859,-1.06130117881186,0.593606674132778
"Hel",-1.21253982638227,0.95292270964517,-0.729093114159363,1.13433763783159,-0.778570024709171,1.14477836051936,-0.702374434714762
"Cor",1.2531594375686,0.251372506932553,-0.667604096858746,-0.467393946751108,0.842796141006976,-0.0969434621359319,0.733554346000322
"Hoo",1.2212216027539,-0.195830059709552,-0.621414652347617,0.58025882082755,1.05767840961147,0.273746908914547,-0.687501271920155
"Kil",1.06900392304433,-0.905531080499188,-0.6985379090693,0.894038069381831,-0.978006536172067,0.421320754641424,0.144234531189314
"Mul",1.06168444621908,-0.916620788296506,-0.683240955781259,0.907509215273732,-1.00764624478317,0.383376840119056,0.144451176849328
"Ven",1.16461758422346,-0.445712710464595,-0.817702938956003,0.641158931362662,0.454577362256169,1.49903683946401,-1.56475241642079
"Oos",-0.466438928280757,1.40309589301413,1.34916386265101,1.55090679521093,-0.103631707517017,0.284813059561263,-1.28584012552903
"Ber",-1.10560346597015,-1.34090799295255,0.13236275030026,-1.31108802210877,0.885461285336652,-1.45883529390673,-1.35566024901971
"Flo",-1.38711457298095,-0.160503493266777,-0.61470420722315,-0.245539531921866,0.917203236688173,1.01587116155134,1.33230388238589
"Sin",-1.20414395270142,0.045388252150887,-1.65624459323131,-0.336729713811878,0.0747432882159964,-0.505699078451585,-0.22090599602424
"Tro",-0.378388149972583,-0.760129799189907,1.23882647670629,-1.64075372534128,1.74485146718333,2.00428747360575,-1.32140845787824
"Vig",0.0672634861336119,0.304972240804437,0.278179102994636,-2.06717668764751,-3.01892222194339,1.84727904258946,-0.321989166550542
"Gul",-1.2057212676041,0.0477535752262524,-1.65738840502818,-0.33080869602645,0.0705358155117658,-0.496045608018455,-0.208458496855394
"Kav",-1.20542239762678,0.047580970332828,-1.65736507012963,-0.331442004428558,0.0708768565314145,-0.496427240523747,-0.209712868102054
"Lys",-1.20551501112901,0.047677032520889,-1.65738818944478,-0.331161772465089,0.0706962014278712,-0.496087275367338,-0.209140488583827
