"","PCo1","PCo2","PCo3","PCo4","PCo5","PCo6","PCo7","PCo8","PCo9","PCo10","PCo11","PCo12","PCo13","PCo14","PCo15","PCo16","PCo17","PCo18","PCo19","PCo20","PCo21","PCo22","PCo23","PCo24","PCo25","PCo26","PCo27","PCo28","PCo29"
"Sul",-939562.572763101,-1524668.69417163,86402.4864305763,-597879.861363872,295229.181303183,-134136.782672396,80668.4965780025,192376.604971648,-171981.809636998,326949.176943032,177482.653571651,-113769.21044639,122961.157339787,-670008.180997012,61195.6118739646,-73544.8673709651,-13617.7604552789,-7601.42362088139,-8396.26863417624,131860.79056977,-637134.517857203,-355502.655248616,25690.3385008945,120007.753778236,268182.152155315,20777.8370852957,-185894.599688683,219537.4808356,59727.1157441701
"Jer",1849461.77335508,1308946.14988735,-1519.39609195521,504706.002493666,-201597.88337735,299715.928232434,-455212.559098475,-126860.703845328,373113.272230516,-542083.098508654,-93997.9196264343,201835.43507646,-62807.8131798241,297350.330962225,15613.1685989271,30568.4462567486,-20080.6298180575,-28940.6790712026,-24619.1684870207,62405.6972321453,-301559.660164458,-147086.249761186,-27297.2427401849,84443.0026869235,670910.734836202,163699.154556494,-234657.821742159,105923.165961272,55768.8309834181
"Idr",3991820.69851384,1539142.5410679,176072.445234323,14860.2124857696,524044.982395488,534753.995086949,-589279.981450513,417259.05367614,-564538.313235126,371925.038107823,-439469.432498617,-303263.980845277,-243669.677938853,66733.4709307332,90790.9806862969,-39639.7174642003,-19030.4749591906,-29896.4763445442,88798.9749551588,-1735.81885141203,44749.1927745139,38556.7878023566,-11565.2669264239,58224.163766395,-231931.640541445,179587.584626045,-94719.6406211229,-165468.192636917,-18509.6140428225
"Hel",-2245113.114305,1567494.7857995,-524270.294724492,-118966.226902695,177131.906550465,-685553.33128917,-459941.616242193,-349318.598360452,53384.4050725021,408004.230837425,93673.7699294893,263658.965722826,-144171.293117536,58117.3723658371,23854.6842312719,32152.5784295232,19529.5027188343,28498.5727322919,-43745.5087019872,-32632.84087136,254326.425637613,-407697.383310461,204371.675151047,330409.172817691,5035.1943772237,-184381.95025849,-246519.29225188,-287885.665235544,82328.8942926083
"Cor",3148869.58518372,-642154.656342237,-490935.958248927,84329.6573493978,-144788.463623005,-369541.157587084,-145560.484009932,-186348.909875794,-303336.442859987,-311114.677963464,462423.389009936,-305198.148565028,-364892.103075296,39462.7177418906,59980.0550515374,-197993.733871345,77182.7018905546,110100.027686958,197029.788291472,-264410.172155464,-157794.891577992,346682.844023088,13323.2047625234,648438.464376589,-86197.5755493746,40351.0069445593,-50512.4321780729,246381.043973736,-98489.2623307531
"Hoo",2805220.1346248,-696317.609474385,-526729.070914293,111116.214339036,57405.7582953339,-84140.907802512,-80945.9104006328,18808.8199283812,102740.340666843,221903.535190665,-41984.3750082607,26281.2749437423,502331.863751477,270464.40716457,-218721.528492966,-726212.54370473,58913.6427503445,128501.814511872,470787.20720829,220340.230199084,178562.107759389,-368075.057149304,10568.6247585794,-342022.165739793,44857.8896396883,176438.686879009,-30488.3165209593,207701.751854224,-72636.957890295
"Kil",2265204.1269958,-1417875.11554979,661562.945164154,151499.591361949,-620276.327329119,-18400.0189467157,54269.3948027252,610805.942595549,-269802.857859459,-408017.897729255,-105310.35773801,-194223.106637897,309857.182533115,-13703.0817138011,96645.0269157081,4158.83818990321,36830.1133464793,52637.9768462804,-23379.6557827812,-101558.099598053,140167.486889508,-184039.501316164,586592.562119921,100060.201845144,25037.2913372389,-199161.215017974,-200459.348053695,-228179.472660661,49979.4288338058
"Mul",1709301.02207096,-1584823.24925686,906246.865530779,4777.03982029392,-409555.76947674,-15730.81153412,-370948.222369294,-612464.297603205,-220639.649282209,291173.048891317,-5160.79484402476,99737.781142747,-164841.600175892,9247.0375978978,-16993.7142261782,21525.9466701034,-31425.4473083753,-46760.0109481592,23519.4481763808,64366.1562945275,-77350.730781156,95800.0981801008,91749.438413227,-112090.870372445,55337.5490061615,446931.35123798,549722.849298994,8079.96122323743,87542.9612276351
"Ven",2874485.28040715,-1035935.85205013,50408.837546365,52921.9198170847,-560599.959651529,-357205.671656832,-173493.148441145,486841.709969135,-16756.6953677793,283734.357138399,28.4103595334987,316706.715991756,-184765.5234321,53729.3494109477,-139965.659316898,248417.190046892,-79811.6917375936,-118638.510177543,-241834.087180065,238778.430230777,-43829.1997216898,159402.033943085,-801644.909885697,-152977.849803027,28856.3260995504,-121607.161595128,-278254.414019972,3049.31942823238,-37002.3579380046
"Oos",-463125.436565863,1538428.99822073,-564851.720097695,183488.530658775,-134938.76958571,-142902.694398013,270656.844775562,352580.955758716,-23746.7634737769,-16883.5411518052,172459.650788053,123867.882923758,214251.525284342,40154.0684582491,835654.330502434,55146.1568320023,-239451.987501902,-380420.17295047,430425.565268368,125040.523667665,-65302.7684696353,176392.080616378,-110972.427088944,-25014.0293569522,-165310.85720069,118136.722034409,241743.262444465,87845.1840248193,102612.823006075
"Ber",-3474639.41247025,-914094.062541896,-239365.595942485,364518.774502121,-267429.190211898,109474.941694024,-385320.248729051,107322.53984645,385296.553734987,292158.754285804,269654.07490592,-701280.802678272,-72788.5141799781,67505.7881722035,66099.8338041049,-28109.0319512959,-8839.08719172096,-14665.2241216592,75689.9412835363,-45036.7088886644,-41604.8904502733,-41429.8173294617,-85079.2501044213,-153614.810326576,177331.387215411,-530388.1560739,396590.134726677,-239350.805924565,-29163.1646725109
"Flo",-3681889.117498,550607.84220159,417206.574012371,134227.216930164,-20778.683921819,64152.1468433261,-95668.8898310665,72853.7991988075,245654.000855828,199753.536086721,-510648.183329132,225879.004177751,284490.62682813,-581157.897843297,18707.3053486005,-217039.241217766,46152.6184480073,39913.7343644587,114091.03497673,-73462.6580406587,408242.085272108,559273.230003282,-27792.8413736917,413161.943073685,343621.252200855,-87746.9678960358,66094.1851090292,141980.167143379,-47933.4061853164
"Sin",-4221765.87612784,752097.156382869,590465.895168558,143283.163981352,139544.462365556,-45924.7124038811,139774.208776086,144362.239207471,93697.7064587086,337717.504583393,41316.134143228,83968.7418265069,509805.555817938,685771.359750442,-277699.972851705,224707.424009446,7729.85487720716,40261.4244446451,-101583.386372305,-1304.32431281377,-611499.447961655,154657.925871042,153716.291505,338621.957525266,-227320.640123368,55966.9728643581,29927.2715878964,42346.8824086422,-50954.8949854454
"Tro",-4629947.99177818,-1840983.73712955,-840268.331890031,447158.536839789,-270385.765364917,522.07820201985,-287068.97233489,-121180.427537297,-13458.4435291686,-338063.160458121,-366459.134421649,363917.209379964,44765.7400502583,-342566.047908588,-91667.5795912959,44963.8531730718,-22327.1733872362,-32012.3636450916,-8489.80907928966,42452.5310404463,-215683.970149985,-66072.8588997271,81836.4804529964,-44655.6708147263,-574781.20680366,222127.452016954,-37454.343399673,-207658.70996458,-39323.211852636
"Vig",5623214.15810696,1596783.10774179,647106.547815432,-438030.616073584,-499836.8957388,-309394.069768419,320017.933058434,-301545.185078652,754913.025806101,64081.5808972937,-191837.507817458,-226161.533085234,-43129.4821461605,-205794.622051444,78347.5086894308,-36184.0226826173,-24244.7352497826,-37201.8727805866,103251.971475365,-6957.14199974117,-71233.3159194564,-114950.469003351,24316.1395386108,30539.2658932943,-386880.0765331,55042.1945115538,-110080.981997303,-138772.649756121,-47948.4344315405
"Gul",-4044663.94281896,860221.147101155,538082.403317135,149544.40914367,131714.548562965,-144531.954529499,72793.6146265631,-11766.2321153271,-114086.700188183,-217876.338902869,71007.7924574058,-134093.374848745,-241301.714462822,-118953.767513161,114462.090252825,414340.31998693,-321352.94075129,899233.701476769,403749.36744235,267227.32195142,93941.394723105,-148146.324053983,-85695.0439274736,-262153.726331254,721.076223398757,90286.4377375759,-78165.5003208893,88855.4145066622,-45158.6553437154
"Kav",-4072635.23199755,858727.279893131,548306.198571467,148512.220874515,134307.446027394,-140311.005207792,83815.0706385056,692.797507677225,-111072.573255837,-187299.692089628,92479.2198579815,-116235.079253622,-209683.273828131,-33726.9448220519,-26533.0838938218,-537771.427601179,-737711.954285664,-432962.695334794,-466612.989959569,-377620.982374103,41673.8098420143,-179361.210317334,-49786.0802816662,-233470.484441373,-28695.4669597448,97764.997319108,-69790.7317369892,84402.1758737793,-45806.6669078581
"Lys",-4062491.45582783,861896.766810749,544042.575125226,149377.707987686,134744.011430667,-144303.565729224,80038.1293203422,-5750.41500833317,-114747.580383545,-204920.372579912,87361.1815248851,-130858.377190361,-227508.105675443,-71900.4483634942,55781.9719933661,62767.0361203877,1033652.90400879,-506377.061987376,95674.3637562606,106639.772077346,58002.7195217653,-167248.906650681,-69031.8541070584,-252928.210310987,-18735.6261626084,94255.690755825,-75386.8881930641,85318.5726948173,-45419.6111286439
