"","Ale","Ber","Brd","Cor","Cro","Eye","Flo","Gul","Heb","Hel","Hoo","Idr","Iom","Ios","Jer","Kav","Kil","Laz","Loo","Lyn","Lys","Mul","Oos","Ork","Pad","Pem","Sar","Sbs","She","Sin","Sky","Sul","Tar","The","Tor","Tro","Ven","Vig"
"Sar",0.2567,0.7039,0.6806,0.6417,0.6747,0.6275,0.6908,0.664,0.6768,0.6876,0.6154,0.606,0.6031,0.5363,0.6543,0.6629,0.6703,0.0276,0.6124,0.6475,0.6994,0.6374,0.7125,0.7109,0.6718,0.6577,0,0.6785,0.6847,0.6566,0.3219,0.6712,0,0.2757,0.3826,0.6612,0.6876,0.5622
"Sbs",0.5323,0.1931,0.049,0.0198,0.0447,0.1116,0.2907,0.2327,0.0532,0.2196,0.0326,0.0499,0.0353,0.0409,0.0036,0.2368,0.0196,0.6608,0.0275,0.0094,0.2469,0.0187,0.2368,0.0016,0,0.0105,0.6785,0,0.0026,0.2421,0.6112,0,0.6761,0.573,0.6122,0.1672,0.0138,0.1521
"She",0.5587,0.2513,0.0875,0,0.0856,0.1487,0.3494,0.2875,0.0583,0.2779,0.0536,0.0218,0.0443,0.0465,0.0152,0.2917,0,0.6671,0.0101,0,0.3043,0,0.2879,0.0066,0,0.0108,0.6847,0.0026,0,0.3003,0.6313,0,0.6846,0.5978,0.6359,0.2151,0,0.1069
"Sin",0.4247,0.0272,0.1332,0.3109,0.1372,0.0432,0.0109,0.0154,0.3226,0.0233,0.218,0.3195,0.2474,0.2416,0.216,0,0.3219,0.6453,0.2279,0.2664,0.0125,0.2836,0.0356,0.2668,0.2811,0.2889,0.6566,0.2421,0.3003,0,0.5387,0.2544,0.6594,0.4806,0.5319,0.0253,0.3314,0.397
"Sky",0.0465,0.5942,0.5988,0.6026,0.5831,0.5256,0.5822,0.5307,0.6474,0.5648,0.5766,0.5722,0.5693,0.4889,0.6039,0.5421,0.6245,0.3393,0.5646,0.5943,0.5735,0.5923,0.6,0.6515,0.6182,0.6144,0.3219,0.6112,0.6313,0.5387,0,0.6156,0.333,0.0145,0.0015,0.5631,0.6402,0.5553
"Sul",0.5363,0.2075,0.0557,0.0031,0.0548,0.1169,0.3001,0.2449,0.0386,0.2337,0.0275,0.0326,0.0246,0.035,0,0.2477,0.003,0.6505,0.013,0,0.2609,0.0016,0.2491,0,0,8e-04,0.6712,0,0,0.2544,0.6156,0,0.6666,0.5781,0.6187,0.1734,0,0.1269
"Tar",0.2283,0.7158,0.6791,0.629,0.6726,0.6175,0.7029,0.6699,0.6715,0.6986,0.596,0.5935,0.583,0.5075,0.6441,0.6673,0.666,0,0.5952,0.6401,0.7146,0.6257,0.7326,0.715,0.6667,0.6495,0,0.6761,0.6846,0.6594,0.333,0.6666,0,0.2635,0.4022,0.6632,0.6891,0.5427
"The",0,0.5442,0.5569,0.5669,0.5424,0.4822,0.5235,0.4819,0.6039,0.5159,0.5287,0.5449,0.5234,0.4489,0.5619,0.4892,0.5921,0.2863,0.5305,0.5604,0.5248,0.5591,0.5551,0.6152,0.5831,0.5749,0.2757,0.573,0.5978,0.4806,0.0145,0.5781,0.2635,0,0.0156,0.5071,0.6065,0.5293
"Tor",0.0539,0.5909,0.5985,0.6097,0.5816,0.525,0.5771,0.5246,0.651,0.5591,0.5778,0.5781,0.5728,0.4924,0.6062,0.5366,0.6312,0.4106,0.5715,0.5997,0.5682,0.599,0.5961,0.6546,0.6223,0.6179,0.3826,0.6122,0.6359,0.5319,0.0015,0.6187,0.4022,0.0156,0,0.5639,0.6448,0.5704
"Tro",0.4488,0,0.0439,0.2276,0.0483,0,0.0239,0,0.2614,0,0.165,0.246,0.193,0.1792,0.1407,5e-04,0.2305,0.6415,0.1484,0.1776,0,0.1929,0.0276,0.1696,0.1906,0.2138,0.6612,0.1672,0.2151,0.0253,0.5631,0.1734,0.6632,0.5071,0.5639,0,0.2423,0.3208
"Ven",0.569,0.2832,0.1044,0,0.1004,0.1785,0.3745,0.3153,0.0466,0.3052,0.0531,0.0199,0.0417,0.0412,0.0221,0.3218,0,0.673,0.0301,0,0.3358,0,0.3247,0.0171,0,0.0038,0.6876,0.0138,0,0.3314,0.6402,0,0.6891,0.6065,0.6448,0.2423,0,0.1045
"Vig",0.4864,0.3796,0.2466,0.0601,0.2463,0.2644,0.4425,0.3892,0.1517,0.3929,0.1469,0.0295,0.1172,0.0789,0.1411,0.3928,0.0787,0.5181,0.0775,0.0848,0.4126,0.0663,0.3954,0.1726,0.1088,0.1129,0.5622,0.1521,0.1069,0.397,0.5553,0.1269,0.5427,0.5293,0.5704,0.3208,0.1045,0
